3491234   48        0.5       
4927038   49        5.5       
7216340   48        0.7       
3491234   49        2.5       
8120321   49        1.3       
3491234   48        0.5       
4927038   48        0.5       
8120321   48        0.5       
7216340   49        2.9       
3491234   49        18.1      
4927038   49        17.5      
3491234   48        1.1       
4927038   48        0.7       
8120321   49        3.9       
7216340   48        0.7       
7216340   49        5.5       
3492200   48        0.7       
3491234   48        0.7       
4927038   48        0.7       
3492200   48        0.5       
